lane,origin,destination,weight_break_kg,usd_per_kg_min,usd_per_kg_mid,usd_per_kg_max,total_min_usd,total_max_usd,collected_at_utc,attribution
BOM-LHR,BOM,LHR,300.0,8.45,9.263333333333334,10.076666666666666,2535.0,3023.0,2026-08-27T16:01:43.835304+00:00,Data courtesy Freightos — https://www.freightos.com
BOM-LHR,BOM,LHR,1000.0,7.83,8.895,9.96,7830.0,9960.0,2026-08-27T16:01:43.835304+00:00,Data courtesy Freightos — https://www.freightos.com
BOM-FRA,BOM,FRA,300.0,7.95,8.1,8.25,2385.0,2475.0,2026-08-27T16:01:43.835304+00:00,Data courtesy Freightos — https://www.freightos.com
BOM-FRA,BOM,FRA,1000.0,7.53,7.68,7.83,7530.0,7830.0,2026-08-27T16:01:43.835304+00:00,Data courtesy Freightos — https://www.freightos.com
BOM-DXB,BOM,DXB,300.0,6.65,6.65,6.65,1995.0,1995.0,2026-08-27T16:01:43.835304+00:00,Data courtesy Freightos — https://www.freightos.com
