date,actual_freight_ppi,model_fitted_or_forecast,kind
2018-06-01,111.5,115.1303117791372,history
2018-07-01,111.6,115.28004898679936,history
2018-08-01,111.2,115.7213675726895,history
2018-09-01,111.7,117.30558427594794,history
2018-10-01,112.6,118.39695345180267,history
2018-11-01,112.8,117.10382549642793,history
2018-12-01,112.6,114.51727828769734,history
2019-01-01,112.0,113.4399710116783,history
2019-02-01,111.8,114.71363839665287,history
2019-03-01,111.8,114.504291017265,history
2019-04-01,111.9,114.59340927865554,history
2019-05-01,111.7,115.16142154696215,history
2019-06-01,111.5,114.30835395464678,history
2019-07-01,111.8,113.7765620667459,history
2019-08-01,110.0,114.89326312750445,history
2019-09-01,110.9,114.57611261736635,history
2019-10-01,111.4,114.96126264513452,history
2019-11-01,112.8,115.14833278055524,history
2019-12-01,113.8,114.80180857458177,history
2020-01-01,112.4,115.44080206340013,history
2020-02-01,111.8,112.88408304922577,history
2020-03-01,111.5,112.24769059174477,history
2020-04-01,111.5,104.86300322924814,history
2020-05-01,113.0,103.83819237856152,history
2020-06-01,113.5,108.4655577975395,history
2020-07-01,116.5,109.7073890625611,history
2020-08-01,113.2,110.12848872147141,history
2020-09-01,112.4,108.82907050378654,history
2020-10-01,113.1,108.53453137027026,history
2020-11-01,113.0,109.39262188717522,history
2020-12-01,117.6,111.6460646881914,history
2021-01-01,115.7,112.22627588812918,history
2021-02-01,114.9,112.91163188068394,history
2021-03-01,115.7,114.17554956741796,history
2021-04-01,114.2,114.68883581251178,history
2021-05-01,114.2,114.88512592977742,history
2021-06-01,116.4,115.60252016563842,history
2021-07-01,114.903,116.65943332580726,history
2021-08-01,115.814,116.29867160251094,history
2021-09-01,117.777,116.51945513785496,history
2021-10-01,121.327,118.63683433180692,history
2021-11-01,124.493,118.92548511959987,history
2021-12-01,126.66,117.96463636475085,history
2022-01-01,126.794,119.14062931034962,history
2022-02-01,123.275,121.09889500439103,history
2022-03-01,127.61,124.54548751944807,history
2022-04-01,129.937,126.2848137265021,history
2022-05-01,129.666,128.16922868651528,history
2022-06-01,133.161,128.4282452382714,history
2022-07-01,132.235,128.23245884983436,history
2022-08-01,130.307,126.53015954850308,history
2022-09-01,129.491,127.13607612368692,history
2022-10-01,126.069,128.1841193666926,history
2022-11-01,123.689,127.58648358671914,history
2022-12-01,121.642,125.51785202231648,history
2023-01-01,122.906,127.04467374766395,history
2023-02-01,123.775,126.65339089806746,history
2023-03-01,120.479,125.62617564809167,history
2023-04-01,121.021,123.608953559472,history
2023-05-01,119.501,122.06201806355965,history
2023-06-01,117.665,122.27868470495211,history
2023-07-01,119.072,122.85802004133505,history
2023-08-01,119.451,125.97381175737276,history
2023-09-01,121.146,127.05079528276153,history
2023-10-01,121.968,126.66101911288375,history
2023-11-01,124.538,125.84369947447688,history
2023-12-01,123.194,124.03900869940394,history
2024-01-01,119.02,124.03861207934231,history
2024-02-01,119.062,125.2703819487753,history
2024-03-01,120.049,124.53384321879575,history
2024-04-01,122.004,124.73701343613507,history
2024-05-01,119.944,123.84676681257214,history
2024-06-01,120.228,123.3833486485638,history
2024-07-01,119.511,124.21381489309623,history
2024-08-01,119.484,122.82648600261747,history
2024-09-01,120.331,121.85176829129607,history
2024-10-01,121.968,122.02187989552127,history
2024-11-01,121.045,122.01300986562974,history
2024-12-01,123.429,122.43677977065325,history
2025-01-01,121.638,124.05658503931981,history
2025-02-01,121.529,124.72623434124769,history
2025-03-01,121.421,123.26236259720531,history
2025-04-01,123.685,123.09420104910556,history
2025-05-01,120.936,121.57167978952867,history
2025-06-01,122.49,121.88121636135074,history
2025-07-01,121.701,123.3982671745161,history
2025-08-01,122.211,123.98165882381149,history
2025-09-01,122.719,124.14459385933428,history
2025-10-01,122.543,124.38567018981387,history
2025-11-01,122.841,125.18141220722899,history
2025-12-01,125.58,124.44732087623905,history
2026-01-01,123.663,124.45831714963649,history
2026-02-01,123.432,126.0005519646209,history
2026-03-01,123.861,131.77944670267098,history
2026-04-01,129.085,135.50467366556038,history
2026-05-01,132.329,135.95033828779592,history
2026-06-01,132.555,132.86776621111,history
2026-07-01,130.377,130.7995599945628,history
2026-08-01,,130.7995599945628,forecast_1_to_6m
2026-09-01,,130.7995599945628,forecast_1_to_6m
2026-10-01,,130.7995599945628,forecast_1_to_6m
2026-11-01,,130.7995599945628,forecast_1_to_6m
2026-12-01,,130.7995599945628,forecast_1_to_6m
2027-01-01,,130.7995599945628,forecast_1_to_6m
